sample_size,num_bootstrap,noise_std,plugin_est,correction_est,adj_correction_est,act_plugin_val
100.0,500.0,1.0,0.9300948865651502,0.8351999000853491,0.8603300586751795,1.1
100.0,500.0,1.0,1.224607227415847,1.1318570819141376,1.18054977352975,1.0
100.0,500.0,1.0,1.348956341820392,1.2300241200250692,1.27587982344809,1.0
100.0,500.0,1.0,1.2454489928291173,1.203121938799653,1.2213328991088197,1.1
100.0,500.0,1.0,1.0569559440877567,0.9717905997111902,1.0034889032372076,1.0
100.0,500.0,1.0,1.239801331105368,1.144196700070801,1.1821585377074193,1.0
100.0,500.0,1.0,1.2749099545824556,1.2412765214273158,1.2662947189956566,1.0
100.0,500.0,1.0,1.040610360429221,0.9488604350833312,0.9994124275881991,1.1
100.0,500.0,1.0,1.0836875278113414,0.9953205668208066,1.0355864123869374,1.0
100.0,500.0,1.0,0.9943565928519988,0.8746510211974616,0.8491358153201454,1.0
100.0,500.0,1.5,1.3237414416325068,1.2711142739379653,1.2995217173728988,1.0
100.0,500.0,1.5,1.6196822783327205,1.575764873730688,1.5867993859961904,1.0
100.0,500.0,1.5,1.5244754919280004,1.422392250685202,1.4185329073446007,1.0
100.0,500.0,1.5,2.0568895849412385,2.0568895849412385,2.0568895849412385,1.1
100.0,500.0,1.5,1.5376520699643297,1.5334861343384858,1.5326483313608308,1.1
100.0,500.0,1.5,0.8766496443377165,0.7739139236678281,0.8364519055847912,1.1
100.0,500.0,1.5,1.270959738044645,1.117388285024004,1.192162478290736,1.0
100.0,500.0,1.5,1.1570610817938771,0.9839457289141956,1.0756988533115406,1.1
100.0,500.0,1.5,1.0836028803101565,1.004888528955394,1.060929583396441,1.1
100.0,500.0,1.5,1.1804484216476894,1.0908589226595924,1.1302259613791843,1.1
100.0,500.0,1.5,1.21082266332375,1.0630654865036355,1.1158071965309635,1.1
100.0,500.0,1.5,1.034728840807531,0.9797795060462536,0.9911437105110908,1.1
100.0,500.0,1.5,1.020094675894213,0.8980002701065635,0.9003756651547393,1.0
100.0,500.0,1.5,0.6903437334595639,0.5215185438024262,0.601661964954124,1.0
100.0,500.0,1.5,1.1501186903718168,1.0925650614891766,1.10467442161514,1.0
100.0,500.0,1.5,1.4327917003562138,1.3751105514729751,1.3997815090309906,1.1
100.0,500.0,1.5,1.1836290814114196,1.0463475820687906,1.050582727241324,1.1
100.0,500.0,1.5,1.241398304306301,1.089233195675714,1.126850569484223,1.0
100.0,500.0,1.5,1.1479065430462063,1.0630307083563189,1.059944996903751,1.1
100.0,500.0,1.5,1.110038842803121,0.8962638459325997,0.90270580539542,1.1
100.0,500.0,1.5,1.0421858998756386,0.9580255014847032,0.978946001120468,1.0
100.0,500.0,1.5,1.222414642061122,1.21256399557788,1.215891413734156,1.0
100.0,500.0,1.5,1.3520714090995376,1.180113148870177,1.223235168093634,1.0
100.0,500.0,1.5,1.179698386651817,1.0915209494140774,1.121583217353809,1.0
100.0,500.0,1.5,0.9797473301104568,0.8622970701134988,0.912142869359602,1.1
100.0,500.0,1.5,1.1556900839786364,0.9745659625692844,1.00488817935939,1.0
100.0,500.0,1.5,1.369814474352175,1.2418151297145932,1.2778102299365477,1.0
100.0,500.0,1.5,1.115692747567252,1.002218677209642,1.0582118534425613,1.1
100.0,500.0,1.5,1.2899010857282116,1.1274983414828612,1.1328531973355398,1.1
100.0,500.0,1.5,1.320783287771402,1.263987837047338,1.280853277966567,1.0
100.0,500.0,1.5,1.285049304593762,1.1497987546483706,1.1776113152500411,1.0
100.0,500.0,1.5,1.4313279567218178,1.2723466593617507,1.3468403901318682,1.1
100.0,500.0,1.5,1.31033370018941,1.1545490671568848,1.2030056653693388,1.1
100.0,500.0,1.5,1.6332514467539982,1.5736860868141302,1.587713347162454,1.0
100.0,500.0,1.5,1.1918718791054208,1.0596595281108412,1.1050770952222315,1.1
100.0,500.0,1.5,0.9804347786905174,0.8467107514786187,0.892406195306597,1.0
100.0,500.0,1.5,1.2232427230811718,1.0322930477932477,0.9828156427171442,1.1
100.0,500.0,1.5,1.3705578503741598,1.3605611691065065,1.360332059900587,1.1
100.0,500.0,1.5,1.5928042933383466,1.4692000914907828,1.529783810093278,1.1
100.0,500.0,1.5,1.210072978165027,1.0423272795620715,1.0107835851367637,1.0
100.0,500.0,1.5,0.8451423298477253,0.6934694379356672,0.7236884916932538,1.1
100.0,500.0,1.5,1.3369108411237705,1.2079944577594728,1.2797193161080331,1.0
100.0,500.0,1.5,1.5234345127305882,1.3531820180063632,1.4238809869561908,1.0
100.0,500.0,1.5,1.3181734892436756,1.2485011748615629,1.2772262499393008,1.1
100.0,500.0,1.5,1.0854339161316349,0.9697188561040226,1.015492387840397,1.0
100.0,500.0,1.5,1.3597019966580517,1.2258630478421886,1.286553286396021,1.0
100.0,500.0,1.5,1.4123649318736835,1.3695238131384977,1.4024737080330638,1.0
100.0,500.0,1.5,1.0109155406438313,0.862360864017246,0.9420311941009702,1.1
100.0,500.0,1.5,1.125531291717012,1.0064415244855074,1.063283099403305,1.0
100.0,500.0,1.5,0.991534889277998,0.8158899645380356,0.7987112084424367,1.0
100.0,500.0,2.0,1.431655255510009,1.3676120307704496,1.4040930863269832,1.0
100.0,500.0,2.0,1.8262430377769605,1.7696867179288558,1.7875850230075516,1.0
100.0,500.0,2.0,1.699300655904001,1.5719518335406124,1.5672199630173562,1.0
100.0,500.0,2.0,2.375852779921652,2.375852779921652,2.375852779921652,1.1
100.0,500.0,2.0,1.6835360932857724,1.6730009526499054,1.6747855078830465,1.1
100.0,500.0,2.0,0.8021995257836221,0.6553478447164233,0.7432460324773125,1.1
100.0,500.0,2.0,1.3612796507261933,1.1606680800975804,1.2612816861831575,1.0
100.0,500.0,2.0,1.176081442391836,0.9416971188085904,1.0682141811879504,1.1
100.0,500.0,2.0,1.0781371737468757,0.9679284744032052,1.0440207482010408,1.1
100.0,500.0,2.0,1.2072645621969196,1.080865031193027,1.134829773682147,1.1
100.0,500.0,2.0,1.2477635510983331,1.0478306356558955,1.1115276147128994,1.1
100.0,500.0,2.0,1.0129717877433744,0.9336094456802068,0.9496897673116684,1.1
100.0,500.0,2.0,1.0267929011922845,0.8658925848459749,0.875557679444262,1.0
100.0,500.0,2.0,0.5871249779460854,0.3629657217617554,0.4756863083246163,1.0
100.0,500.0,2.0,1.200158253829089,1.1280450719676136,1.142503540129606,1.0
100.0,500.0,2.0,1.5437222671416189,1.4613198198887885,1.496168066672247,1.1
100.0,500.0,2.0,1.222818185070209,1.0396788308976392,1.0225807884595008,1.0
100.0,500.0,2.0,1.3218644057417348,1.1219226527434,1.1813646959921844,1.0
100.0,500.0,2.0,1.1638753907282755,1.0388331370001762,1.0397975924745515,1.1
100.0,500.0,2.0,1.1309016396891192,0.8461441664548126,0.8573231502451222,1.0
100.0,500.0,2.0,1.0562478665008517,0.9501527026639456,0.9820092323848812,1.0
100.0,500.0,2.0,1.2965528560814958,1.2858450201163398,1.2878552183122076,1.0
100.0,500.0,2.0,1.4694285454660505,1.2421940854706113,1.31402880597599,1.0
100.0,500.0,2.0,1.239597848869089,1.1266113728520752,1.1706872962652686,1.0
100.0,500.0,2.0,0.9396631068139424,0.7758503620204567,0.8467977539030367,1.1
100.0,500.0,2.0,1.2075867786381822,0.9710943737266808,1.0096811696893528,1.0
100.0,500.0,2.0,1.4930859658028997,1.3291157751568132,1.3825409951471888,1.0
100.0,500.0,2.0,1.1209236634230026,0.9623171853095838,1.0399988030095544,1.1
100.0,500.0,2.0,1.3532014476376153,1.130794126761192,1.1374522430195222,1.1
100.0,500.0,2.0,1.4277110503618693,1.3580593652554074,1.3778954347049044,1.0
100.0,500.0,2.0,1.3800657394583498,1.206500850497431,1.2447297350248312,1.0
100.0,500.0,2.0,1.5417706089624237,1.3265836767948662,1.424479905048632,1.1
100.0,500.0,2.0,1.3804449335858795,1.1692396653182842,1.232015847806708,1.1
100.0,500.0,2.0,1.844335262338664,1.7715680600851802,1.787542658316006,1.0
