sample_size,num_bootstrap,noise_std,te_diff,plugin_est,correction_est,adj_correction_est,act_plugin_val
100.0,500.0,0.5,0.15,7.612708456118716,7.4476905738068435,7.545492874146455,6.6499999999999995
100.0,500.0,0.5,0.15,7.924674508658935,7.579972761765849,7.5654478711327275,7.25
100.0,500.0,0.5,0.15,7.07449877502279,6.609528806335838,6.842963483147698,6.6499999999999995
100.0,500.0,0.5,0.15,7.073119381191385,6.820821733556492,6.921635118084682,7.25
100.0,500.0,0.5,0.15,7.821916679482024,7.54935617891266,7.641573108093341,7.25
100.0,500.0,0.5,0.15,7.216421272549608,6.63737914283449,6.692996313145133,6.6499999999999995
100.0,500.0,0.5,0.15,8.112798279979769,8.040065886517498,8.023645045456576,7.25
100.0,500.0,0.5,0.15,6.515126428538256,6.135518582146735,6.23699210591621,7.25
100.0,500.0,0.5,0.15,6.925726103224825,6.326988825178039,6.32986375496999,7.25
100.0,500.0,0.5,0.15,6.55259831439349,6.097581294829924,6.448222547730721,7.25
100.0,500.0,0.5,0.15,7.098676667225327,6.685152803750945,7.015653352436277,7.25
100.0,500.0,0.5,0.15,7.243154866357658,6.726808728082986,6.803090248291903,7.25
100.0,500.0,0.5,0.15,7.029063676270011,6.694832874402449,6.849064813718933,7.25
100.0,500.0,0.5,0.2,7.434492123661664,6.9263723470767395,6.8557859745412655,7.200000000000001
100.0,500.0,0.5,0.2,8.172455880511647,7.859018891419881,7.928406410664902,8.0
100.0,500.0,0.5,0.2,8.25945018534568,7.940150152235586,8.074332666124286,8.0
100.0,500.0,0.5,0.2,9.186288109783705,8.819273450637363,8.787223022046529,8.0
100.0,500.0,0.5,0.2,8.918359174507525,8.782537431569256,8.806994391028315,8.0
100.0,500.0,0.5,0.2,7.417384642422919,7.230914070116309,7.257298394807162,8.0
100.0,500.0,0.5,0.2,8.953683591605097,8.81966900289583,8.885253529481968,8.0
100.0,500.0,0.5,0.2,8.012915467266644,7.817956540987872,7.903718415491185,8.0
100.0,500.0,0.5,0.2,7.662003540772419,7.167004569761865,7.301091487727509,8.0
100.0,500.0,0.5,0.2,8.435872226949545,8.382379099288592,8.365268290018262,8.0
100.0,500.0,0.5,0.2,8.5541703702354,8.479794315384854,8.570371658088172,8.0
100.0,500.0,0.5,0.2,8.211673914816409,8.17964814929464,8.188953772301277,8.0
100.0,500.0,0.5,0.2,7.184089855036151,6.677802676308284,6.69160450503906,6.4
100.0,500.0,0.5,0.2,8.166842043741436,8.095019383295893,8.09363169531438,8.0
100.0,500.0,0.5,0.2,7.436501122090567,7.013938512063019,7.100751426397403,6.2
100.0,500.0,0.5,0.2,8.258960072382852,7.93700086161907,7.8493803402385,8.0
100.0,500.0,0.5,0.2,7.763369134552429,7.550019687693951,7.55647952023851,8.0
