sample_size,num_bootstrap,plugin,act_plugin,corr,adj_corr
100,3000,5.862783258753835,5.6,4.538925141444524,4.660895639380996
100,3000,6.1231309424527725,5.0,5.090145834367638,5.0624076478150615
100,4000,5.350226430317513,5.8,4.369044374401508,4.812895433131372
100,4000,7.88028050721312,5.0,7.104678049785514,6.998707667155264
100,4000,7.013814622740871,4.5,5.6895260428827,5.570357357932168
100,4000,9.05730702841065,5.5,8.658620086916551,8.452226518718126
100,4000,7.836718349015047,6.0,7.147127837456744,7.115196210978946
100,4000,5.273319773983033,5.5,4.450392917453378,4.956376568771527
100,4000,7.907367183210189,6.0,6.966295660956745,7.010771745912707
100,4000,6.025830934533285,6.0,4.594577269587267,5.214599149238012
100,4000,6.335268952973312,5.0,5.001723997948641,4.6071188416715305
100,4000,6.249236320014336,5.800000000000001,5.468142594925051,5.895137593927546
100,4000,7.108340740470796,6.0,6.5701756252950965,6.835485446713334
100,4000,6.057120203057304,5.9,5.5668628692556785,5.732583623574843
100,4000,6.32873018092459,5.2,5.747352304461196,5.987636258744328
100,4000,6.333684087482872,6.0,5.664505994335666,5.718283749649807
100,4000,7.573002244181135,5.1,7.015713285727561,7.257282332794395
100,4000,6.726513778899468,5.8,5.964716491588632,6.594429910206833
100,4000,6.2673509199499495,4.5,5.5135415969754185,5.38180182167661
100,4000,8.232218200562304,5.1,7.569479625788304,7.767418005290107
100,4000,6.408814412083715,5.5,5.614081277022741,5.947893285169139
100,4000,7.291631617159048,5.6000000000000005,6.653139925067161,7.1794299362801
100,4000,5.6211602397497265,4.5,4.504273507692325,4.48136369414177
100,4000,5.481079022830273,4.5,4.413271974353757,4.816489405390395
100,4000,7.249142839216427,5.4,5.868628330063153,6.099315075446971
100,4000,6.714862745142238,4.8,6.247271901457325,6.4550460009798805
100,4000,6.234649668074891,5.5,5.654368223478454,6.0119796482696914
100,4000,5.766185218342543,5.4,4.307910851507357,5.173012123911711
100,4000,6.643167444084823,6.0,5.657557883248246,6.148637711721361
100,4000,7.912829246526036,6.0,7.423485622875538,7.847090930398649
100,4000,7.229619074087418,6.0,6.123035168025147,6.06235186397442
100,4000,5.997477503966781,5.0,4.919285133922772,5.471329984945171
100,4000,6.701718024773438,5.4,5.793584761411716,6.061944715257723
100,4000,6.847388571912681,5.2,5.823871928997631,6.327427960041019
100,4000,7.154592762215262,6.0,6.0831965271245,5.83143464524185
100,4000,8.424656814158116,5.0,7.950906602165557,7.909301623956679
100,4000,6.924832534434172,6.0,5.935036206583647,6.604308356810261
100,4000,6.359419238009916,5.0,5.444630088151707,5.532951382771741
100,4000,6.799791096811047,5.6,5.614930659158993,5.6454031359888495
100,4000,8.161098801386654,5.5,7.957631675518141,8.054225857806461
100,4000,7.347126337476743,5.9,6.385645634211605,6.433731664066415
100,4000,6.7760377355955494,5.5,5.859718269352284,6.125819078970894
100,4000,5.646238762382769,6.0,4.605005268085976,5.1076504423607725
100,4000,8.146207413650771,4.5,7.87240508708326,7.733780372515863
100,4000,7.006498953966979,5.5,5.653567420767806,5.774631088596641
100,4000,7.266189985466513,5.9,6.642399925020668,6.837117447662087
100,4000,5.755844977584979,4.7,4.873111198539574,5.339529632530367
100,4000,6.008261302062763,4.6,4.600571447017646,4.74135195782744
100,4000,6.2041822660675825,5.0,5.357208787786461,5.592285388457691
100,4000,5.501405578145196,5.8,3.858241819476884,5.236154508474295
100,4000,5.862783258753835,5.6,4.547543913437517,4.639364703973577
100,4000,6.1231309424527725,5.0,5.087132324587876,5.060255732765017
100,5000,6.474658739789853,5.4,5.63320467193606,5.729402697646212
100,5000,7.88028050721312,5.0,7.09345383543511,7.0069808669837315
100,5000,7.013814622740871,4.5,5.687543841947039,5.575426757275087
100,5000,9.05730702841065,5.5,8.657176958489543,8.466223363082648
100,5000,7.836718349015047,6.0,7.155535040762559,7.1289454853898695
100,5000,5.273319773983033,5.5,4.442863577349568,4.960662735811911
100,5000,7.907367183210189,6.0,6.971773750282015,6.9878527487182165
100,5000,6.025830934533285,6.0,4.595585483969623,5.215742265979842
100,5000,6.335268952973312,5.0,5.004705246530884,4.650123055286626
100,5000,6.249236320014336,5.800000000000001,5.480081971617252,5.876382176200675
100,5000,7.108340740470796,6.0,6.581278066262129,6.839493591904019
100,5000,6.057120203057304,5.9,5.570044848730605,5.71605802966351
100,5000,6.32873018092459,5.2,5.74659841364697,5.979797540590155
100,5000,6.333684087482872,6.0,5.674360962807513,5.692900735180227
100,5000,7.573002244181135,5.1,7.010850853660859,7.233745522931902
100,5000,6.726513778899468,5.8,5.957667170121856,6.614651145321403
100,5000,6.2673509199499495,4.5,5.518954269388912,5.375897136518562
100,5000,8.232218200562304,5.1,7.5735828385591155,7.760105674597127
100,5000,6.408814412083715,5.5,5.6163778360123775,5.952833907176358
100,5000,7.291631617159048,5.6000000000000005,6.654905551126363,7.177540580342016
100,5000,5.6211602397497265,4.5,4.5104373521024375,4.474442456626699
100,5000,5.481079022830273,4.5,4.412238890390035,4.798029016120791
100,5000,7.249142839216427,5.4,5.877740612599839,6.11326172849215
100,5000,6.714862745142238,4.8,6.2483752057605395,6.448693038172618
100,5000,6.234649668074891,5.5,5.640635555387164,6.0163828810864395
100,5000,5.766185218342543,5.4,4.314627774450074,5.196250098778526
100,5000,6.643167444084823,6.0,5.661965593109869,6.155259687060627
100,5000,7.912829246526036,6.0,7.432952973449672,7.844779156055042
100,5000,7.229619074087418,6.0,6.124463605108743,6.067784507565049
100,5000,5.997477503966781,5.0,4.928342995506354,5.457303882969957
100,5000,6.701718024773438,5.4,5.795547441538902,6.059070983690637
100,5000,6.847388571912681,5.2,5.816835384595077,6.328596323688402
100,5000,7.154592762215262,6.0,6.07958531517307,5.844164967501861
100,5000,8.424656814158116,5.0,7.9634707827072875,7.905228168464775
100,5000,6.924832534434172,6.0,5.930849728261398,6.616925649856958
100,5000,6.359419238009916,5.0,5.440045451905679,5.520286804421803
100,5000,6.799791096811047,5.6,5.612139160116357,5.625942589746575
100,5000,8.161098801386654,5.5,7.953664207206057,8.047566289453165
100,5000,7.347126337476743,5.9,6.385594203823481,6.442347232422885
100,5000,6.7760377355955494,5.5,5.858928998061886,6.132987524632459
100,5000,5.646238762382769,6.0,4.605735162560782,5.078819247628409
100,5000,8.146207413650771,4.5,7.8745107001642625,7.717942774915579
100,5000,7.006498953966979,5.5,5.655828944343003,5.75714082934718
100,5000,7.266189985466513,5.9,6.628120414877518,6.838307395835267
100,5000,5.755844977584979,4.7,4.874674351025396,5.3402828918459555
100,5000,6.008261302062763,4.6,4.604702212446767,4.796211590158379
100,5000,6.2041822660675825,5.0,5.3590673077009665,5.611120648319255
100,5000,5.501405578145196,5.8,3.866838723176193,5.210863187945609
100,5000,5.862783258753835,5.6,4.5450089474018425,4.664841346370585
100,5000,6.1231309424527725,5.0,5.083968822636835,5.058883959993094
100,10000,6.709262125219022,4.5,5.394148494982559,5.473027620103192
100,10000,7.88028050721312,5.0,7.08685999878723,6.996114817454421
100,10000,7.013814622740871,4.5,5.684589069056043,5.567708233995035
100,10000,9.05730702841065,5.5,8.655753020631233,8.446824781667333
100,10000,7.836718349015047,6.0,7.154618592703732,7.135838609409425
100,10000,5.273319773983033,5.5,4.448888144772341,4.974116992591302
100,10000,7.907367183210189,6.0,6.950117306408137,7.0106306374599345
100,10000,6.025830934533285,6.0,4.596031359151473,5.220226858800045
100,10000,6.335268952973312,5.0,4.997589719470016,4.700822947846623
100,10000,6.249236320014336,5.800000000000001,5.4688859298815835,5.871300965006985
100,10000,7.108340740470796,6.0,6.58748510800019,6.835180631029174
100,10000,6.057120203057304,5.9,5.565395585361737,5.731736699839579
100,10000,6.32873018092459,5.2,5.750487914649071,6.002396274326948
100,10000,6.333684087482872,6.0,5.677561739795055,5.651827470912965
100,10000,7.573002244181135,5.1,7.030278633132764,7.194303058308817
100,10000,6.726513778899468,5.8,5.951692458905985,6.6011624889264695
100,10000,6.2673509199499495,4.5,5.515676426900526,5.376841396985409
100,10000,8.232218200562304,5.1,7.58511918639313,7.750878000902111
100,10000,6.408814412083715,5.5,5.620687894175419,5.953556844591989
100,10000,7.291631617159048,5.6000000000000005,6.65293168748516,7.16915222470689
100,10000,5.6211602397497265,4.5,4.503980469976008,4.494287845354835
100,10000,5.481079022830273,4.5,4.414519077467261,4.764697654764416
100,10000,7.249142839216427,5.4,5.874512636844866,6.133675909047433
100,10000,6.714862745142238,4.8,6.250685645397448,6.459007151059274
100,10000,6.234649668074891,5.5,5.64184946719711,5.999927253298018
100,10000,5.766185218342543,5.4,4.3151892398321925,5.2278513919809475
100,10000,6.643167444084823,6.0,5.661879327714288,6.151460929083392
100,10000,7.912829246526036,6.0,7.445097913324435,7.842674392694889
100,10000,7.229619074087418,6.0,6.144882517308763,6.021142721342368
100,10000,5.997477503966781,5.0,4.928831232420808,5.462333779934314
100,10000,6.701718024773438,5.4,5.787924363575409,6.0611281309927385
100,10000,6.847388571912681,5.2,5.8129495934312585,6.319804979485374
100,10000,7.154592762215262,6.0,6.081254942242712,5.8549941125355645
100,10000,8.424656814158116,5.0,7.985423249511136,7.871473495022933
100,10000,6.924832534434172,6.0,5.911389923690684,6.6258127370303335
100,10000,6.359419238009916,5.0,5.44861094785167,5.535626741276242
100,10000,6.799791096811047,5.6,5.606757622841464,5.6556769843616355
100,10000,8.161098801386654,5.5,7.958289980583909,8.057534460701628
100,10000,7.347126337476743,5.9,6.389166267225835,6.446692531070599
100,10000,6.7760377355955494,5.5,5.859755316301208,6.13701951773584
100,10000,5.646238762382769,6.0,4.598113292485777,5.0847214915390015
100,10000,8.146207413650771,4.5,7.876674092727775,7.708287056788001
100,10000,7.006498953966979,5.5,5.648142762662,5.783371225378941
100,10000,7.266189985466513,5.9,6.62267019252684,6.858128048077868
100,10000,5.755844977584979,4.7,4.864375945677805,5.342607262448624
100,10000,6.008261302062763,4.6,4.606682155020354,4.752252925506747
100,10000,6.2041822660675825,5.0,5.357145909569306,5.633006852636124
100,10000,5.501405578145196,5.8,3.85243049335452,5.2717454717180185
100,10000,5.862783258753835,5.6,4.560829249338787,4.641431286752165
100,10000,6.1231309424527725,5.0,5.087508972823344,5.021280618297949
100,15000,6.123898660908058,5.0,5.334419183602513,5.514880995605247
100,15000,7.88028050721312,5.0,7.08680260359912,7.013162714174303
100,15000,7.013814622740871,4.5,5.681330052056491,5.578483689472158
100,15000,9.05730702841065,5.5,8.660202465663776,8.44059955991655
100,15000,7.836718349015047,6.0,7.160982158632591,7.108917291834554
100,15000,5.273319773983033,5.5,4.453675897872003,4.964744847033171
100,15000,7.907367183210189,6.0,6.955445635472616,6.996690778816834
100,15000,6.025830934533285,6.0,4.60175169397141,5.210465927362429
100,15000,6.335268952973312,5.0,4.999146411690322,4.668331272033392
100,15000,6.249236320014336,5.800000000000001,5.471756899870103,5.869660644280603
100,15000,7.108340740470796,6.0,6.588825267581075,6.8191576805321565
100,15000,6.057120203057304,5.9,5.5676853934037,5.731162890431232
100,15000,6.32873018092459,5.2,5.7559627509313485,5.996709324595533
100,15000,6.333684087482872,6.0,5.67650915576892,5.663849660306901
100,15000,7.573002244181135,5.1,7.025418886740345,7.208916396258985
100,15000,6.726513778899468,5.8,5.952069778703154,6.605317134285663
100,15000,6.2673509199499495,4.5,5.516188617810761,5.3606038763984944
